//  Input-size	    Naive-RT	    Student-RT
            10	         273	          3856
            20	          66	           225
            30	          71	          2566
            40	          41	          1315
            50	          60	          1390
            60	          94	           297
            70	         169	           282
            80	          10	           344
            90	         115	          1653
           100	          17	           214
           110	          22	          1863
           120	          35	           324
           130	          28	           723
           140	          31	           888
           150	          55	           555
           160	        1631	           559
           170	          45	           591
           180	          49	           523
           190	         244	           474
           200	         105	           437
           210	          69	           543
           220	         173	           862
           230	          82	           580
           240	         100	           748
           250	         182	          1712
           260	         104	           565
           270	         115	           523
           280	         121	           842
           290	         135	           799
           300	         139	           597
           310	         158	           680
           320	         157	           643
           330	         189	           800
           340	         184	          1039
           350	         187	           835
           360	         207	           779
           370	         204	          1090
           380	         366	          1213
           390	         297	          1013
           400	         290	          1033
           410	         412	           991
           420	         608	          3903
           430	         299	           877
           440	         340	          1030
           450	         319	           894
           460	         367	           945
           470	         396	          1030
           480	         398	          1082
           490	         368	          1054
           500	         383	          1205
           510	         395	           975
           520	         445	          1352
           530	         440	          1661
           540	         796	          1235
           550	         530	          1456
           560	         541	          1392
           570	         525	          1247
           580	         545	          1147
           590	         579	          1083
           600	         560	           845
           610	        1356	           906
           620	         747	          1036
           630	         634	          1088
           640	         689	          1003
           650	        1070	           989
           660	         674	           979
           670	         826	          1105
           680	         816	           864
           690	         922	           869
           700	         832	           896
           710	         776	          1252
           720	        1017	           837
           730	         488	           570
           740	         568	           604
           750	         583	           589
           760	         974	           575
           770	         619	           567
           780	         670	           580
           790	         594	           620
           800	         915	           990
           810	         583	           580
           820	         896	           923
           830	         613	           591
           840	         698	           636
           850	         678	          1394
           860	         972	           661
           870	         744	           681
           880	         805	           692
           890	         858	           755
           900	        1266	          1868
           910	        4836	          1827
           920	         836	          3572
           930	         955	           694
           940	        1050	          1036
           950	         987	          1047
           960	        1301	           954
           970	        1092	           694
           980	         879	           753
           990	        1365	           750
          1000	        1093	           756
          1010	        1073	          1125
          1020	        1056	           798
          1030	        1068	           772
          1040	        1272	          1144
          1050	        1389	          1241
          1060	        1708	          1347
          1070	        1350	           903
          1080	        1717	           907
          1090	        1604	           999
          1100	        1507	          1020
          1110	        1232	          1336
          1120	        1271	           880
          1130	        1650	          1220
          1140	        1313	          1128
          1150	        1526	          1401
          1160	        1485	          1319
          1170	        1452	           945
          1180	        1324	           919
          1190	        1592	          1450
          1200	        2011	           971
          1210	        1647	          1484
          1220	        1510	           977
          1230	        1748	          1398
          1240	        1865	          1322
          1250	        2073	          1119
          1260	        1868	          1444
          1270	        1730	          1747
          1280	        3019	          1636
          1290	        2402	          1121
          1300	        1901	          1231
          1310	        1797	          1054
          1320	        2286	          1075
          1330	        2746	          1183
          1340	        1762	          1037
          1350	        1970	          1406
          1360	        2796	          1606
          1370	        2054	          1532
          1380	        1887	          1068
          1390	        1918	          1098
          1400	        2124	          1701
          1410	        2136	          1680
          1420	        3036	          1569
          1430	        2834	          2125
          1440	        2388	          1344
          1450	        2548	          1197
          1460	        2220	          1365
          1470	        2234	          1677
          1480	        2392	          1588
          1490	        2789	          1203
          1500	        2692	          1353
          1510	        2172	          1113
          1520	        2448	          1222
          1530	        2616	          1700
          1540	        2310	          1171
          1550	        2453	          1622
          1560	        3206	          2038
          1570	        3087	          1246
          1580	        2938	          1339
          1590	        2657	          1826
          1600	        2695	          1612
          1610	        3023	          1642
          1620	        2622	          2428
          1630	        3565	          2475
          1640	        2741	          1804
          1650	        4296	          2009
          1660	        3199	          1677
          1670	        3317	          1542
          1680	        2957	          2006
          1690	        2940	          2030
          1700	        3016	          1344
          1710	        3270	          1404
          1720	        3367	          1565
          1730	        3750	          1634
          1740	        3180	          2007
          1750	        3598	          1801
          1760	        3478	          1465
          1770	        3629	          1900
          1780	        3664	          1502
          1790	        3518	          1439
          1800	        3605	          1550
          1810	        3763	          2137
          1820	        3569	          2024
          1830	        3545	          1851
          1840	        3898	          1590
          1850	        4045	          2164
          1860	        3477	          1500
          1870	        4529	          2051
          1880	        3976	          1493
          1890	        4147	          1599
          1900	        5241	          2177
          1910	        3965	          1703
          1920	        4575	          1651
          1930	        4165	          2368
          1940	        4310	          1879
          1950	        4457	          1692
          1960	        4460	          1648
          1970	        4046	          1845
          1980	        5214	          1732
          1990	        4838	          2530
          2000	        4110	          2435
          2010	        4768	          1687
          2020	        4441	          2388
          2030	        6323	          2119
          2040	        4513	          2293
          2050	        4484	          1990
          2060	        4635	          2445
          2070	        5202	          3119
          2080	        4268	          2545
          2090	        4788	          2183
          2100	        5158	          1837
          2110	        4910	          1827
          2120	        5000	          1815
          2130	        5153	          2404
          2140	        4942	          1912
          2150	        5024	          2422
          2160	        5763	          2908
          2170	        5253	          2533
          2180	        5152	          1841
          2190	        5445	          2838
          2200	        5185	          2078
          2210	        5528	          2121
          2220	        6348	          2510
          2230	        5586	          1903
          2240	        7192	          2204
          2250	        6180	          3244
          2260	        6854	          2216
          2270	        5799	          1999
          2280	        5645	          2679
          2290	        5678	          2208
          2300	        5793	          2010
          2310	        6179	          2568
          2320	        5917	          2745
          2330	        6033	          2747
          2340	        5768	          2097
          2350	        6293	          2128
          2360	        6255	          2110
          2370	        7316	          2743
          2380	        5715	          2856
          2390	        6156	          2248
          2400	        6118	          2004
          2410	        6493	          2661
          2420	        6378	          2185
          2430	        6263	          2655
          2440	        6444	          2562
          2450	        6297	          2829
          2460	        6582	          2602
          2470	        6413	          2317
          2480	        6798	          2114
          2490	        8936	          2871
          2500	        6511	          2142
