//  Input-size	    Naive-RT	    Student-RT
            10	          53	          1295
            20	         210	           419
            30	         342	           742
            40	         593	          1151
            50	         933	          1532
            60	        1360	          2761
            70	        1960	          2639
            80	        2945	          2849
            90	        3367	          3013
           100	        3802	          4599
           110	        5202	          5306
           120	        5604	          4995
           130	        6821	          5399
           140	        7639	          6127
           150	       14790	          7579
           160	        9671	          5838
           170	       10842	          6246
           180	       13232	          9351
           190	       15064	          7986
           200	       18449	         11033
